id	path	toxicity	text
angry_30-19	/datasets/violence/yt_audio/angry_30-19.wav	Yes	that he's not supposed to be without his sister because this is the third time that this has happened so for us to watch our own back I want to make sure everybody sees and understands
angry_31-1	/datasets/violence/yt_audio/angry_31-1.wav	Yes	I got told, I came in here, I came in here and put my clothes on, but I had to wait out in that line. I know you guys are coming out there telling me you're close to the driver as well.
angry_37-7	/datasets/violence/yt_audio/angry_37-7.wav	Yes	So and you think you not go take my order so you want my money because you know fucking employees is rude as fuck Because she talked shit and she don't got nothing to say
angry_29-25	/datasets/violence/yt_audio/angry_29-25.wav	Yes	I know how much I came in here for you feel you come in the store you come in the store pick you know you're in for the pick you you gotta pick out what you need you feel me so I picked up
angry_36-19	/datasets/violence/yt_audio/angry_36-19.wav	Yes	I'm waiting for them to come.
angry_40-10	/datasets/violence/yt_audio/angry_40-10.wav	Yes	It's okay, Monziah. Shana, pull up. Pull up. Look, I cursed the house. Please pull up.
angry_31-11	/datasets/violence/yt_audio/angry_31-11.wav	Yes	It's you, it's bitch. I think there are eight people in here. I don't care how many people are here. How about that, Miss Karen?
angry_28-9	/datasets/violence/yt_audio/angry_28-9.wav	Yes	I'm going to jail bitch! Fucking hit me bitch! Fucking pussy bitch! That's alright my niggas coming Let's do it
angry_36-12	/datasets/violence/yt_audio/angry_36-12.wav	Yes	Get the fuck away from me! Get the fuck away from me! Yes, can you stand a-
angry_35-7	/datasets/violence/yt_audio/angry_35-7.wav	Yes	they do and that's a pattern that you see me do anything that's what I'm stopping right here to make sure so that's why you were at the door this whole time for us
angry_26-22	/datasets/violence/yt_audio/angry_26-22.wav	Yes	I'm telling you, you better stop playing with me! You better stop playing with me!
angry_28-3	/datasets/violence/yt_audio/angry_28-3.wav	Yes	I want all y'all to know that you want to go live. We is that McDonald's and this girl over here Took and dug into a cheeto bag lick
angry_33-5	/datasets/violence/yt_audio/angry_33-5.wav	Yes	She's leaving like this. I need your number. Yes ma'am, I'm getting my number. Thank you very much. Just like I asked you a question. Just like she asked you to get your number.
angry_40-7	/datasets/violence/yt_audio/angry_40-7.wav	Yes	Okay, okay, okay. Hold on, Shade's on her way to get you, because I'm not hearing, but you like the same thing I like? I'm not hearing it. I'm not hearing it. I'm not hearing you.
angry_36-16	/datasets/violence/yt_audio/angry_36-16.wav	Yes	Call the cops, call the owner, go wherever you want to go. You're not going to go, you're not going to talk to me. You're not going to talk to me in any kind of way. I'm sorry? No, you're not. She's not going to talk to me.
angry_29-13	/datasets/violence/yt_audio/angry_29-13.wav	Yes	No, mama, the hood. More sex intelligent. What to call me anything you want that don't bother me. I know what I am.
angry_26-2	/datasets/violence/yt_audio/angry_26-2.wav	Yes	What are you gonna do to me? Exactly, exactly, exactly. You will serve me. I will meet somebody in here serving me.
angry_30-11	/datasets/violence/yt_audio/angry_30-11.wav	Yes	Cuz it's the third time! I don't care about nobody else's kid out there! And you know what? They need to hear this so they understand what y'all trying to cover up!
angry_31-7	/datasets/violence/yt_audio/angry_31-7.wav	Yes	Everyone here thinks you need a job. I really don't give a shit what you think. Go to another restaurant. I don't want to. Oh, you don't want to? If you train his guts to run a business, he...
angry_24-3	/datasets/violence/yt_audio/angry_24-3.wav	Yes	I'm gonna spit on you! Alright, now that I spit on you, you a liar! Give me my fucking money back! Ain't no spit right there, it ain't my spit! It ain't my spit!
angry_36-7	/datasets/violence/yt_audio/angry_36-7.wav	Yes	Damn. Whoa, so what? Leave her alone. She's only 13 years old. Leave her alone. Okay.
angry_28-5	/datasets/violence/yt_audio/angry_28-5.wav	Yes	What the hell she been doing? Blast you bitch! Hey, my name is Sheena. Bitch, she on the phone with her fingers out.
angry_37-4	/datasets/violence/yt_audio/angry_37-4.wav	Yes	You better watch what the fuck you talking to. I'm ready, now I'm gonna watch what you talking about there. I don't know my chicken sandwich by myself. Alright, alright then.
angry_40-16	/datasets/violence/yt_audio/angry_40-16.wav	Yes	I don't have no more. How long? You see that fuck shit? Did you see the fuck shit? Yeah, did you see that fuck shit? You see that fuck shit? I ain't trippin'. I'm not trippin'.
